County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Hamilton,Animal,Birds,Creepers,Certhia americana,Brown Creeper,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,2000-2005,Protected Bird,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Crows and Jays,Perisoreus canadensis,Gray Jay,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Hamilton,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Aythya collaris,Ring-necked Duck,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Bucephala clangula,Common Goldeneye,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Contopus cooperi,Olive-sided Flycatcher,2000-2005,Protected Bird,not listed,S3B,G4,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Empidonax flaviventris,Yellow-bellied Flycatcher,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2002,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Hamilton,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Grouse, Pheasants, Turkeys",Falcipennis canadensis,Spruce Grouse,2002,Endangered,not listed,S2,G5,Recently Confirmed
Hamilton,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Larus argentatus,Herring Gull,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,2000-2005,Special Concern,not listed,"S3S4B,S3N",G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Aquila chrysaetos,Golden Eagle,2000-2005,Endangered,not listed,"SHB,S1N",G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lineatus,Red-shouldered Hawk,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-winged Hawk,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus hudsonius,Northern Harrier,2003,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco columbarius,Merlin,2000-2005,Protected Bird,not listed,S3?B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,2000-2005,Endangered,not listed,S3B,G4,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2018,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2000-2005,Threatened,not listed,"S3B,S1N",G4G5,Recently Confirmed
Hamilton,Animal,Birds,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,2000-2005,Protected Bird,not listed,S5B,G4G5,Recently Confirmed
Hamilton,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Loons,Gavia immer,Common Loon,2016,Special Concern,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,2000-2005,Protected Bird,not listed,S3S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,not available,Special Concern,not listed,S2S3B,G5,Historically Confirmed
Hamilton,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Hamilton,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Hamilton,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Owls,Strix varia,Barred Owl,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Hamilton,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,Sora,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Hamilton,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Melospiza lincolnii,Lincoln's Sparrow,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Hamilton,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Catharus bicknelli,Bicknell's Thrush,2008,Special Concern,not listed,S2S3B,G4,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,2000-2005,Protected Bird,not listed,S5B,G4,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Vireos,Vireo philadelphicus,Philadelphia Vireo,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,not available,Special Concern,not listed,S2?B,G5,Historically Confirmed
Hamilton,Animal,Birds,Woodpeckers,Picoides arcticus,Black-backed Woodpecker,2000-2005,Protected Bird,not listed,S3?,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Picoides dorsalis,American Three-toed Woodpecker,2004,Protected Bird,not listed,S2,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Oreothlypis peregrina,Tennessee Warbler,2001,Protected Bird,not listed,S2B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,2000-2005,Protected Bird,not listed,S3S4B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga castanea,Bay-breasted Warbler,2000-2005,Protected Bird,not listed,S2B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga palmarum,Palm Warbler,2000-2005,Protected Bird,not listed,S2S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga striata,Blackpoll Warbler,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Hamilton,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
